# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_exon_region	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
WD_0572	WD_0572	WD_0572	protein_coding	2666	1246	36	0	1384
WD_0573	WD_0573	WD_0573	protein_coding	2640	1138	36	0	1466
WD_0574	WD_0574	WD_0574	protein_coding	2710	1090	160	0	1460
WD_0576	WD_0576	WD_0576	protein_coding	2852	1232	90	0	1530
WD_0577	WD_0577	WD_0577	protein_coding	3174	1198	404	0	1572
WD_0578	WD_0578	WD_0578	protein_coding	2870	1280	54	0	1536
WD_0579	WD_0579	WD_0579	protein_coding	3162	1316	366	0	1480
WD_0580	WD_0580	WD_0580	protein_coding	3462	1448	618	0	1396
WD_0581	WD_0581	WD_0581	protein_coding	3088	1532	158	0	1398
WD_0582	WD_0582	WD_0582	protein_coding	3550	1512	596	0	1442
WD_0583	WD_0583	WD_0583	protein_coding	3100	1444	162	0	1494
WD_0584	WD_0584	WD_0584	protein_coding	3036	1414	90	0	1532
WD_0585	WD_0585	WD_0585	protein_coding	3014	1362	140	0	1512
WD_0586	WD_0586	WD_0586	protein_coding	2996	1414	144	0	1438
WD_0587	WD_0587	WD_0587	protein_coding	2942	1450	36	0	1456
WD_0588	WD_0588	WD_0588	protein_coding	2958	1362	108	0	1488
WD_0589	WD_0589	WD_0589	protein_coding	3104	1398	158	0	1548
WD_0590	WD_0590	WD_0590	protein_coding	3066	1304	250	0	1512
WD_0591	WD_0591	WD_0591	protein_coding	3060	1386	214	0	1460
WD_0594	WD_0594	WD_0594	protein_coding	3076	1482	62	9	1532
WD_0595	WD_0595	WD_0595	protein_coding	2857	1392	27	0	1438
WD_0596	WD_0596	WD_0596	protein_coding	2826	1302	0	0	1524
WD_0597	WD_0597	WD_0597	protein_coding	3162	1428	204	0	1530
WD_0598	WD_0598	WD_0598	protein_coding	2830	1374	0	0	1456
WD_0599	WD_0599	WD_0599	protein_coding	2964	1508	0	0	1456
WD_0600	WD_0600	WD_0600	protein_coding	2921	1452	45	0	1424
WD_0602	WD_0602	WD_0602	protein_coding	2963	1492	153	0	1318
WD_0603	WD_0603	WD_0603	protein_coding	2850	1458	36	0	1356
WD_0604	WD_0604	WD_0604	protein_coding	2702	1314	88	0	1300
WD_0605	WD_0605	WD_0605	protein_coding	2841	1386	9	0	1446
WD_0607	WD_0607	WD_0607	protein_coding	2820	1166	0	0	1654
WD_0608	WD_0608	WD_0608	protein_coding	2865	1238	9	0	1618
WD_0609	WD_0609	WD_0609	protein_coding	3178	1528	500	0	1150
WD_0610	WD_0610	WD_0610	protein_coding	3088	1128	882	0	1078
WD_0611	WD_0611	WD_0611	protein_coding	2291	1114	45	0	1132
WD_0612	WD_0612	WD_0612	protein_coding	2152	1002	0	0	1150
WD_0613	WD_0613	WD_0613	protein_coding	2266	1134	0	0	1132
WD_0614	WD_0614	WD_0614	protein_coding	2411	1118	197	0	1096
WD_0615	WD_0615	WD_0615	protein_coding	2172	1032	26	0	1114
WD_0616	WD_0616	WD_0616	protein_coding	1932	826	104	0	1002
WD_0617	WD_0617	WD_0617	protein_coding	1838	756	0	0	1082
WD_0618	WD_0618	WD_0618	protein_coding	1890	756	108	0	1026
WD_0619	WD_0619	WD_0619	protein_coding	2072	918	36	0	1118
WD_0620	WD_0620	WD_0620	protein_coding	2362	1086	144	0	1132
WD_0621	WD_0621	WD_0621	protein_coding	2136	842	90	0	1204
WD_0622	WD_0622	WD_0622	protein_coding	2194	738	306	0	1150
WD_0623	WD_0623	WD_0623	protein_coding	2114	756	180	0	1178
WD_0625	WD_0625	WD_0625	protein_coding	2398	1078	144	0	1176
WD_0626	WD_0626	WD_0626	protein_coding	2524	1168	270	0	1086
WD_0627	WD_0627	WD_0627	protein_coding	2477	1192	27	0	1258
WD_0628	WD_0628	WD_0628	protein_coding	2322	1128	44	0	1150
WD_0630	WD_0630	WD_0630	protein_coding	3040	1196	554	0	1290
WD_0631	WD_0631	WD_0631	protein_coding	2373	1216	71	0	1086
WD_0632	WD_0632	WD_0632	protein_coding	2300	912	224	0	1164
WD_0633	WD_0633	WD_0633	protein_coding	2852	1474	144	0	1234
WD_0634	WD_0634	WD_0634	protein_coding	3014	968	448	0	1598
WD_0635	WD_0635	WD_0635	protein_coding	2730	1006	162	0	1562
WD_0636	WD_0636	WD_0636	protein_coding	2854	1150	126	0	1578
WD_0637	WD_0637	WD_0637	protein_coding	2998	1222	162	0	1614
WD_0638	WD_0638	WD_0638	protein_coding	3210	1294	414	0	1502
WD_0639	WD_0639	WD_0639	protein_coding	3138	1456	268	0	1414
WD_0640	WD_0640	WD_0640	protein_coding	3140	1582	162	0	1396
WD_0641	WD_0641	WD_0641	protein_coding	3194	1672	72	0	1450
WD_0642	WD_0642	WD_0642	protein_coding	3248	1690	90	0	1468
WD_0643	WD_0643	WD_0643	protein_coding	3194	1618	178	0	1398
WD_0644	WD_0644	WD_0644	protein_coding	3104	1580	108	0	1416
WD_0645	WD_0645	WD_0645	protein_coding	3050	1596	108	0	1346
WD_0646	WD_0646	WD_0646	protein_coding	2983	1342	9	0	1632
WD_0647	WD_0647	WD_0647	protein_coding	3055	1414	9	0	1632
WD_0649	WD_0649	WD_0649	protein_coding	3350	1430	558	0	1362
WD_0651	WD_0651	WD_0651	protein_coding	2824	1442	36	0	1346
WD_0652	WD_0652	WD_0652	protein_coding	3158	1346	302	0	1510
WD_0653	WD_0653	WD_0653	protein_coding	3034	1310	212	0	1512
WD_0685	WD_0685	WD_0685	protein_coding	2940	1344	36	0	1560
WD_0686	WD_0686	WD_0686	protein_coding	3550	1664	322	0	1564
WD_0688	WD_0688	WD_0688	protein_coding	3073	1560	27	0	1486
WD_0691	WD_0691	WD_0691	protein_coding	2923	1370	27	0	1526
WD_0692	WD_0692	WD_0692	protein_coding	2860	1470	126	0	1264
WD_0693	WD_0693	WD_0693	protein_coding	2706	1146	0	0	1560
WD_0694	WD_0694	WD_0694	protein_coding	2998	1220	70	0	1708
WD_0695	WD_0695	WD_0695	protein_coding	3198	1530	360	0	1308
WD_0696	WD_0696	WD_0696	protein_coding	2859	1394	63	0	1402
WD_0697	WD_0697	WD_0697	protein_coding	2617	1448	27	0	1142
WD_0699	WD_0699	WD_0699	protein_coding	2934	1238	304	0	1392
WD_0700	WD_0700	WD_0700	protein_coding	2734	1308	36	0	1390
WD_0702	WD_0702	WD_0702	protein_coding	2984	1344	124	0	1516
WD_0704	WD_0704	WD_0704	protein_coding	2966	1360	34	0	1572
WD_0705	WD_0705	WD_0705	protein_coding	3232	1448	306	0	1478
WD_0706	WD_0706	WD_0706	protein_coding	2998	1496	52	0	1450
WD_0707	WD_0707	WD_0707	protein_coding	3196	1448	176	0	1572
WD_0708	WD_0708	WD_0708	protein_coding	3160	1462	88	0	1610
WD_0709	WD_0709	WD_0709	protein_coding	2840	1486	0	0	1354
WD_0713	WD_0713	WD_0713	protein_coding	3422	1608	108	0	1706
WD_0715	WD_0715	WD_0715	protein_coding	3592	1504	90	0	1998
WD_0716	WD_0716	WD_0716	protein_coding	3602	1486	106	0	2010
WD_0717	WD_0717	WD_0717	protein_coding	3591	2106	53	0	1432
WD_0719	WD_0719	WD_0719	protein_coding	3994	1882	670	0	1442
WD_0720	WD_0720	WD_0720	protein_coding	3708	2122	234	0	1352
WD_0721	WD_0721	WD_0721	protein_coding	3564	1374	132	0	2058
WD_0722	WD_0722	WD_0722	protein_coding	3192	1386	18	0	1788
WD_0724	WD_0724	WD_0724	protein_coding	2745	1160	63	0	1522
WD_0725	WD_0725	WD_0725	protein_coding	2564	1124	0	0	1440
WD_0726	WD_0726	WD_0726	protein_coding	2706	1210	54	0	1442
WD_0728	WD_0728	WD_0728	protein_coding	3204	1462	246	0	1496
WD_0729	WD_0729	WD_0729	protein_coding	3086	1374	144	0	1568
WD_0730	WD_0730	WD_0730	protein_coding	2996	1286	144	0	1566
WD_0733	WD_0733	WD_0733	protein_coding	3590	1244	802	0	1544
WD_0736	WD_0736	WD_0736	protein_coding	3269	1634	27	0	1608
WD_0737	WD_0737	WD_0737	protein_coding	3470	1572	466	0	1432
WD_0742	WD_0742	WD_0742	protein_coding	2828	1272	0	0	1556
WD_0744	WD_0744	WD_0744	protein_coding	3125	1592	87	0	1446
WD_0745	WD_0745	WD_0745	protein_coding	3087	1662	97	0	1328
WD_0746	WD_0746	WD_0746	protein_coding	2946	1248	36	0	1662
WD_0747	WD_0747	WD_0747	protein_coding	2943	1680	9	0	1254
WD_0748	WD_0748	WD_0748	protein_coding	2974	1628	90	0	1256
WD_0750	WD_0750	WD_0750	protein_coding	3092	1518	0	0	1574
WD_0752	WD_0752	WD_0752	protein_coding	3196	1534	0	0	1662
WD_0753	WD_0753	WD_0753	protein_coding	3198	1628	90	0	1480
WD_0754	WD_0754	WD_0754	protein_coding	3380	1578	448	18	1354
WD_0756	WD_0756	WD_0756	protein_coding	2990	1518	194	0	1278
WD_0757	WD_0757	WD_0757	protein_coding	2990	1612	138	0	1240
WD_0758	WD_0758	WD_0758	protein_coding	2900	1552	54	0	1294
WD_0761	WD_0761	WD_0761	protein_coding	2506	1186	0	0	1320
WD_0762	WD_0762	WD_0762	protein_coding	2741	1268	165	0	1308
WD_0763	WD_0763	WD_0763	protein_coding	2562	1186	180	0	1196
WD_0764	WD_0764	WD_0764	protein_coding	2600	1324	0	0	1276
WD_0765	WD_0765	WD_0765	protein_coding	2776	1308	162	0	1306
WD_0766	WD_0766	WD_0766	protein_coding	2804	1378	80	0	1346
WD_0770	WD_0770	WD_0770	protein_coding	2648	1326	90	0	1232
WD_0771	WD_0771	WD_0771	protein_coding	2728	1294	72	0	1362
WD_0772	WD_0772	WD_0772	protein_coding	2724	1380	18	0	1326
WD_0773	WD_0773	WD_0773	protein_coding	2723	1362	53	0	1308
WD_0779	WD_0779	WD_0779	protein_coding	3216	1474	36	0	1706
WD_0781	WD_0781	WD_0781	protein_coding	3426	1650	0	0	1776
WD_0784	WD_0784	WD_0784	protein_coding	3352	1628	0	0	1724
WD_0785	WD_0785	WD_0785	protein_coding	3298	1610	0	0	1688
WD_0787	WD_0787	WD_0787	protein_coding	3372	1618	374	0	1380
WD_0790	WD_0790	WD_0790	protein_coding	3212	1610	126	0	1476
WD_0791	WD_0791	WD_0791	protein_coding	3026	1288	520	0	1218
WD_0792	WD_0792	WD_0792	protein_coding	2713	1288	27	0	1398
WD_0793	WD_0793	WD_0793	protein_coding	2667	1270	17	0	1380
WD_0796	WD_0796	WD_0796	protein_coding	2898	1462	132	0	1304
WD_0797	WD_0797	WD_0797	protein_coding	2976	1392	116	0	1468
WD_0802	WD_0802	WD_0802	protein_coding	2760	1356	178	0	1226
WD_0803	WD_0803	WD_0803	protein_coding	2848	1426	108	0	1314
WD_0804	WD_0804	WD_0804	protein_coding	2832	1354	162	0	1316
WD_0805	WD_0805	WD_0805	protein_coding	2706	1372	36	0	1298
WD_0806	WD_0806	WD_0806	protein_coding	2724	1390	0	0	1334
WD_0807	WD_0807	WD_0807	protein_coding	2812	1300	122	0	1390
WD_0808	WD_0808	WD_0808	protein_coding	2794	1312	18	0	1464
WD_0809	WD_0809	WD_0809	protein_coding	2736	1448	8	0	1280
WD_0810	WD_0810	WD_0810	protein_coding	2718	1510	8	0	1200
WD_0811	WD_0811	WD_0811	protein_coding	2660	1448	0	0	1212
WD_0812	WD_0812	WD_0812	protein_coding	2647	1448	27	0	1172
WD_0815	WD_0815	WD_0815	protein_coding	2473	1148	9	0	1316
WD_0816	WD_0816	WD_0816	protein_coding	2430	1114	0	0	1316
WD_0817	WD_0817	WD_0817	protein_coding	2706	1448	180	0	1078
WD_0818	WD_0818	WD_0818	protein_coding	2794	1536	90	0	1168
WD_0819	WD_0819	WD_0819	protein_coding	2938	1448	124	0	1366
WD_0820	WD_0820	WD_0820	protein_coding	2816	1288	108	0	1420
WD_0821	WD_0821	WD_0821	protein_coding	2820	1130	180	0	1510
WD_0823	WD_0823	WD_0823	protein_coding	2888	1132	198	0	1558
WD_0825	WD_0825	WD_0825	protein_coding	2944	1362	0	0	1582
WD_0826	WD_0826	WD_0826	protein_coding	2861	1272	9	0	1580
WD_0827	WD_0827	WD_0827	protein_coding	3068	1580	144	0	1344
WD_0829	WD_0829	WD_0829	protein_coding	2908	1312	0	0	1596
WD_0830	WD_0830	WD_0830	protein_coding	3264	1594	348	0	1322
WD_0835	WD_0835	WD_0835	protein_coding	3104	1674	126	0	1304
WD_0836	WD_0836	WD_0836	protein_coding	3009	1584	9	0	1416
WD_0837	WD_0837	WD_0837	protein_coding	2968	1516	18	0	1434
WD_0838	WD_0838	WD_0838	protein_coding	3406	1786	170	0	1450
WD_0840	WD_0840	WD_0840	protein_coding	3452	1656	18	0	1778
WD_0841	WD_0841	WD_0841	protein_coding	3384	1516	156	0	1712
WD_0844	WD_0844	WD_0844	protein_coding	3558	1858	142	0	1558
WD_0845	WD_0845	WD_0845	protein_coding	3686	1876	306	0	1504
WD_0847	WD_0847	WD_0847	protein_coding	3332	1686	36	0	1610
WD_0848	WD_0848	WD_0848	protein_coding	3334	1646	0	0	1688
WD_0850	WD_0850	WD_0850	protein_coding	3049	1362	45	0	1642
WD_0851	WD_0851	WD_0851	protein_coding	2972	1398	0	0	1574
WD_0852	WD_0852	WD_0852	protein_coding	3154	1576	216	0	1362
WD_0853	WD_0853	WD_0853	protein_coding	3134	1594	88	0	1452
WD_0854	WD_0854	WD_0854	protein_coding	3940	1502	1094	0	1344
WD_0855	WD_0855	WD_0855	protein_coding	3556	1380	786	0	1390
WD_0856	WD_0856	WD_0856	protein_coding	3512	1286	702	0	1524
WD_0857	WD_0857	WD_0857	protein_coding	3672	1362	688	0	1622
WD_0858	WD_0858	WD_0858	protein_coding	3724	1390	818	0	1516
WD_0859	WD_0859	WD_0859	protein_coding	3192	1542	72	0	1578
WD_0861	WD_0861	WD_0861	protein_coding	3198	1576	0	0	1622
WD_0863	WD_0863	WD_0863	protein_coding	3280	1612	18	0	1650
WD_0870	WD_0870	WD_0870	protein_coding	2979	1296	17	0	1666
WD_0872	WD_0872	WD_0872	protein_coding	3423	1568	81	0	1774
WD_0875	WD_0875	WD_0875	protein_coding	2926	1318	84	0	1524
WD_0876	WD_0876	WD_0876	protein_coding	2890	1542	18	0	1330
WD_0877	WD_0877	WD_0877	protein_coding	2885	1580	9	0	1296
WD_0878	WD_0878	WD_0878	protein_coding	2927	1436	25	0	1466
WD_0880	WD_0880	WD_0880	protein_coding	3082	1460	36	0	1586
WD_0883	WD_0883	WD_0883	protein_coding	3088	1574	0	0	1514
WD_0885	WD_0885	WD_0885	protein_coding	3155	1514	63	0	1578
WD_0886	WD_0886	WD_0886	protein_coding	2877	1514	9	0	1354
WD_0889	WD_0889	WD_0889	protein_coding	3108	1426	18	0	1664
WD_0890	WD_0890	WD_0890	protein_coding	3022	1394	0	0	1628
WD_0894	WD_0894	WD_0894	protein_coding	3180	1462	54	0	1664
WD_0896	WD_0896	WD_0896	protein_coding	3027	1644	9	0	1374
WD_0897	WD_0897	WD_0897	protein_coding	3322	1376	342	0	1604
WD_0898	WD_0898	WD_0898	protein_coding	3270	1524	54	0	1692
WD_0899	WD_0899	WD_0899	protein_coding	3138	1568	26	0	1544
WD_0904	WD_0904	WD_0904	protein_coding	3099	1478	17	0	1604
WD_0907	WD_0907	WD_0907	protein_coding	2929	1480	45	0	1404
WD_0909	WD_0909	WD_0909	protein_coding	3074	1616	36	0	1422
WD_0910	WD_0910	WD_0910	protein_coding	3112	1512	108	0	1492
WD_0912	WD_0912	WD_0912	protein_coding	3834	1462	764	0	1608
WD_0913	WD_0913	WD_0913	protein_coding	3212	1606	198	0	1408
WD_0914	WD_0914	WD_0914	protein_coding	3117	1626	17	0	1474
WD_0915	WD_0915	WD_0915	protein_coding	3086	1680	0	0	1406
WD_0917	WD_0917	WD_0917	protein_coding	3047	1404	9	0	1634
WD_0918	WD_0918	WD_0918	protein_coding	3040	1430	0	0	1610
WD_0919	WD_0919	WD_0919	protein_coding	3126	1588	36	0	1502
WD_0920	WD_0920	WD_0920	protein_coding	3198	1588	108	0	1502
WD_0923	WD_0923	WD_0923	protein_coding	2963	1402	9	0	1552
WD_0926	WD_0926	WD_0926	protein_coding	2836	1430	108	0	1298
WD_0929	WD_0929	WD_0929	protein_coding	3210	1402	464	0	1344
WD_0931	WD_0931	WD_0931	protein_coding	2773	1430	9	0	1334
WD_0932	WD_0932	WD_0932	protein_coding	2629	1286	27	0	1316
WD_0933	WD_0933	WD_0933	protein_coding	2593	1250	9	0	1334
WD_0934	WD_0934	WD_0934	protein_coding	2647	1322	9	0	1316
WD_0937	WD_0937	WD_0937	protein_coding	2844	1252	270	0	1322
WD_0938	WD_0938	WD_0938	protein_coding	2592	1268	0	0	1324
WD_0939	WD_0939	WD_0939	protein_coding	2854	1458	70	0	1326
WD_0940	WD_0940	WD_0940	protein_coding	2756	1470	0	0	1286
WD_0942	WD_0942	WD_0942	protein_coding	3268	1306	410	0	1552
WD_0946	WD_0946	WD_0946	protein_coding	3016	1448	36	0	1532
WD_0947	WD_0947	WD_0947	protein_coding	3082	1566	18	0	1498
WD_0948	WD_0948	WD_0948	protein_coding	3278	1502	300	0	1476
WD_0949	WD_0949	WD_0949	protein_coding	3134	1568	180	0	1386
WD_0950	WD_0950	WD_0950	protein_coding	3068	1520	250	0	1298
WD_0951	WD_0951	WD_0951	protein_coding	3004	1454	288	0	1262
WD_0952	WD_0952	WD_0952	protein_coding	2834	1284	34	0	1516
WD_0953	WD_0953	WD_0953	protein_coding	2796	1546	54	0	1196
WD_0955	WD_0955	WD_0955	protein_coding	2786	1274	18	0	1494
WD_0957	WD_0957	WD_0957	protein_coding	2980	1334	324	0	1322
WD_0958	WD_0958	WD_0958	protein_coding	2749	1450	99	0	1200
WD_0959	WD_0959	WD_0959	protein_coding	2670	1414	18	0	1238
WD_0964	WD_0964	WD_0964	protein_coding	2850	1432	108	0	1310
WD_0969	WD_0969	WD_0969	protein_coding	2644	1128	224	0	1292
WD_0970	WD_0970	WD_0970	protein_coding	2534	1258	0	0	1276
WD_0971	WD_0971	WD_0971	protein_coding	2573	1292	9	9	1272
WD_0973	WD_0973	WD_0973	protein_coding	2636	1236	90	0	1310
WD_0974	WD_0974	WD_0974	protein_coding	2760	1254	126	0	1380
WD_0975	WD_0975	WD_0975	protein_coding	3202	1272	340	0	1590
WD_0976	WD_0976	WD_0976	protein_coding	2839	1540	99	0	1200
WD_0979	WD_0979	WD_0979	protein_coding	3126	1554	108	0	1464
WD_0982	WD_0982	WD_0982	protein_coding	2998	1390	70	0	1538
WD_0983	WD_0983	WD_0983	protein_coding	3030	1694	54	0	1282
WD_0984	WD_0984	WD_0984	protein_coding	2994	1284	0	0	1710
WD_0989	WD_0989	WD_0989	protein_coding	2884	1430	0	0	1454
WD_0990	WD_0990	WD_0990	protein_coding	2970	1476	108	0	1386
WD_0991	WD_0991	WD_0991	protein_coding	2868	1566	18	0	1284
WD_0993	WD_0993	WD_0993	protein_coding	3048	1752	26	0	1270
WD_0994	WD_0994	WD_0994	protein_coding	3090	1266	126	0	1698
WD_0995	WD_0995	WD_0995	protein_coding	2990	1652	0	0	1338
WD_0996	WD_0996	WD_0996	protein_coding	3170	1594	116	0	1460
WD_0999	WD_0999	WD_0999	protein_coding	2982	1284	36	0	1662
WD_1000	WD_1000	WD_1000	protein_coding	3034	1392	0	0	1642
WD_1002	WD_1002	WD_1002	protein_coding	3054	1600	174	0	1280
WD_1005	WD_1005	WD_1005	protein_coding	2958	1152	250	0	1556
WD_1006	WD_1006	WD_1006	protein_coding	3106	1280	162	0	1664
WD_1007	WD_1007	WD_1007	protein_coding	3046	1276	54	0	1716
WD_1008	WD_1008	WD_1008	protein_coding	3348	1168	478	0	1702
WD_1011	WD_1011	WD_1011	protein_coding	3464	1590	152	0	1722
WD_1012	WD_1012	WD_1012	protein_coding	3756	1594	456	0	1706
WD_1013	WD_1013	WD_1013	protein_coding	3306	1528	50	0	1728
WD_1015	WD_1015	WD_1015	protein_coding	3435	1926	117	0	1392
WD_1016	WD_1016	WD_1016	protein_coding	3698	1458	652	0	1588
WD_1018	WD_1018	WD_1018	protein_coding	3426	1742	214	0	1470
WD_1019	WD_1019	WD_1019	protein_coding	3526	1750	460	0	1316
WD_1020	WD_1020	WD_1020	protein_coding	3206	1262	36	0	1908
WD_1025	WD_1025	WD_1025	protein_coding	2696	1290	16	7	1390
WD_1026	WD_1026	WD_1026	protein_coding	2755	1274	9	0	1472
WD_1027	WD_1027	WD_1027	protein_coding	2830	1452	234	0	1144
WD_1030	WD_1030	WD_1030	protein_coding	2624	1386	162	0	1076
WD_1031	WD_1031	WD_1031	protein_coding	2602	1194	0	0	1408
WD_1033	WD_1033	WD_1033	protein_coding	2559	1370	45	0	1144
WD_1034	WD_1034	WD_1034	protein_coding	2602	1438	36	0	1128
WD_1036	WD_1036	WD_1036	protein_coding	2674	1240	0	0	1434
WD_1037	WD_1037	WD_1037	protein_coding	2674	1260	0	0	1414
WD_1038	WD_1038	WD_1038	protein_coding	2748	1398	88	0	1262
WD_1039	WD_1039	WD_1039	protein_coding	3142	1504	226	0	1412
WD_1041	WD_1041	WD_1041	protein_coding	3626	1334	982	0	1310
WD_1042	WD_1042	WD_1042	protein_coding	2780	1402	54	0	1324
WD_1043	WD_1043	WD_1043	protein_coding	2860	1394	0	0	1466
WD_1044	WD_1044	WD_1044	protein_coding	2916	1500	18	0	1398
WD_1045	WD_1045	WD_1045	protein_coding	3060	1330	180	0	1550
WD_1046	WD_1046	WD_1046	protein_coding	3332	1312	430	0	1590
WD_1047	WD_1047	WD_1047	protein_coding	3222	1364	426	0	1432
WD_1048	WD_1048	WD_1048	protein_coding	3152	1396	196	0	1560
WD_1049	WD_1049	WD_1049	protein_coding	3132	1394	268	0	1470
WD_1051	WD_1051	WD_1051	protein_coding	2824	1160	0	0	1664
WD_1053	WD_1053	WD_1053	protein_coding	2788	1524	142	0	1122
WD_1054	WD_1054	WD_1054	protein_coding	2594	1124	0	0	1470
WD_1055	WD_1055	WD_1055	protein_coding	2651	1280	27	0	1344
WD_1056	WD_1056	WD_1056	protein_coding	2508	1174	90	0	1244
WD_1057	WD_1057	WD_1057	protein_coding	2444	1282	18	0	1144
WD_1058	WD_1058	WD_1058	protein_coding	2618	1160	232	0	1226
WD_1059	WD_1059	WD_1059	protein_coding	2582	1194	90	0	1298
WD_1061	WD_1061	WD_1061	protein_coding	2564	1434	24	0	1106
WD_1063	WD_1063	WD_1063	protein_coding	2778	1472	62	0	1244
WD_1065	WD_1065	WD_1065	protein_coding	2756	1440	90	0	1226
WD_1069	WD_1069	WD_1069	protein_coding	2560	1434	36	0	1090
WD_1072	WD_1072	WD_1072	protein_coding	2620	1440	50	0	1130
WD_1073	WD_1073	WD_1073	protein_coding	2944	1472	36	18	1436
WD_1074	WD_1074	WD_1074	protein_coding	2620	1076	86	0	1458
WD_1075	WD_1075	WD_1075	protein_coding	2566	1476	0	0	1090
WD_1078	WD_1078	WD_1078	protein_coding	2488	1130	54	0	1304
WD_1079	WD_1079	WD_1079	protein_coding	2677	1430	9	0	1238
WD_1081	WD_1081	WD_1081	protein_coding	3238	1440	376	0	1422
WD_1082	WD_1082	WD_1082	protein_coding	3502	1330	1014	0	1158
WD_1084	WD_1084	WD_1084	protein_coding	2826	1480	50	0	1296
WD_1085	WD_1085	WD_1085	protein_coding	3350	1372	608	0	1370
WD_1086	WD_1086	WD_1086	protein_coding	2868	1302	284	0	1282
WD_1087	WD_1087	WD_1087	protein_coding	2456	1334	0	0	1122
WD_1088	WD_1088	WD_1088	protein_coding	2528	1140	124	0	1264
WD_1089	WD_1089	WD_1089	protein_coding	2600	1226	36	0	1338
WD_1090	WD_1090	WD_1090	protein_coding	3134	1226	496	0	1412
WD_1091	WD_1091	WD_1091	protein_coding	2744	1412	54	0	1278
WD_1092	WD_1092	WD_1092	protein_coding	2719	1340	27	0	1352
WD_1094	WD_1094	WD_1094	protein_coding	2606	1288	54	0	1264
WD_1095	WD_1095	WD_1095	protein_coding	2586	1252	0	0	1334
WD_1096	WD_1096	WD_1096	protein_coding	2464	1180	36	0	1248
WD_1097	WD_1097	WD_1097	protein_coding	2650	1398	54	0	1198
WD_1098	WD_1098	WD_1098	protein_coding	2488	1036	0	0	1452
WD_1099	WD_1099	WD_1099	protein_coding	2527	1052	27	0	1448
WD_1100	WD_1100	WD_1100	protein_coding	2546	1080	54	0	1412
WD_1104	WD_1104	WD_1104	protein_coding	2760	1216	216	0	1328
WD_1105	WD_1105	WD_1105	protein_coding	2568	1078	72	0	1418
WD_1106	WD_1106	WD_1106	protein_coding	2532	1078	48	0	1406
WD_1107	WD_1107	WD_1107	protein_coding	2606	1466	104	0	1036
WD_1111	WD_1111	WD_1111	protein_coding	3142	1418	216	0	1508
WD_1116	WD_1116	WD_1116	protein_coding	3012	1526	54	0	1432
WD_1117	WD_1117	WD_1117	protein_coding	3030	1508	106	0	1416
WD_1118	WD_1118	WD_1118	protein_coding	2796	1362	0	0	1434
WD_1119	WD_1119	WD_1119	protein_coding	2748	1380	0	0	1368
WD_1120	WD_1120	WD_1120	protein_coding	2791	1376	125	0	1290
WD_1125	WD_1125	WD_1125	protein_coding	2986	1434	88	0	1464
WD_1126	WD_1126	WD_1126	protein_coding	3022	1434	54	0	1534
WD_1127	WD_1127	WD_1127	protein_coding	3262	1398	126	0	1738
WD_1129	WD_1129	WD_1129	protein_coding	3405	1970	27	0	1408
WD_1132	WD_1132	WD_1132	protein_coding	3463	1698	79	0	1686
WD_1134	WD_1134	WD_1134	protein_coding	3598	1662	0	0	1936
WD_1135	WD_1135	WD_1135	protein_coding	3852	1904	192	0	1756
WD_1136	WD_1136	WD_1136	protein_coding	3447	1640	123	0	1684
WD_1137	WD_1137	WD_1137	protein_coding	3754	1716	248	0	1790
WD_1138	WD_1138	WD_1138	protein_coding	3914	1748	516	0	1650
WD_1139	WD_1139	WD_1139	protein_coding	3263	1620	17	0	1626
WD_1140	WD_1140	WD_1140	protein_coding	3404	1730	168	0	1506
WD_1141	WD_1141	WD_1141	protein_coding	3456	1810	88	0	1558
WD_1143	WD_1143	WD_1143	protein_coding	3458	1808	286	0	1364
WD_1144	WD_1144	WD_1144	protein_coding	3170	1476	44	0	1650
WD_1146	WD_1146	WD_1146	protein_coding	2897	1320	53	0	1524
WD_1147	WD_1147	WD_1147	protein_coding	3002	1394	0	0	1608
WD_1148	WD_1148	WD_1148	protein_coding	2896	1280	62	0	1554
WD_1149	WD_1149	WD_1149	protein_coding	2710	1316	44	0	1350
WD_1152	WD_1152	WD_1152	protein_coding	3128	1384	110	0	1634
WD_1153	WD_1153	WD_1153	protein_coding	3026	1338	46	0	1642
WD_1154	WD_1154	WD_1154	protein_coding	3032	1686	0	0	1346
WD_1155	WD_1155	WD_1155	protein_coding	3095	1694	9	0	1392
WD_1156	WD_1156	WD_1156	protein_coding	3078	1730	18	0	1330
WD_1160	WD_1160	WD_1160	protein_coding	3032	1330	108	0	1594
WD_1161	WD_1161	WD_1161	protein_coding	3397	1544	99	0	1754
WD_1162	WD_1162	WD_1162	protein_coding	2892	1438	36	0	1418
WD_1168	WD_1168	WD_1168	protein_coding	2514	1060	18	0	1436
WD_1169	WD_1169	WD_1169	protein_coding	2530	986	36	0	1508
WD_1171	WD_1171	WD_1171	protein_coding	2647	1182	27	0	1438
WD_1172	WD_1172	WD_1172	protein_coding	2428	1166	18	0	1244
WD_1173	WD_1173	WD_1173	protein_coding	2216	1070	0	0	1146
WD_1174	WD_1174	WD_1174	protein_coding	2251	1014	251	0	986
