chrom	start	end	nSites	recombRate	CI95LO	CI95HI
2L	18924900	18984600	790	3.12809507441782e-09	4.112220589663938e-10	1.0954840370731038e-08
2L	18984600	19044300	581	4.019009965918546e-09	1.0176000009096851e-09	1.2913274712846662e-08
2L	19044300	19104000	721	1.5789213669652642e-09	0	5.854917834982503e-09
2L	19104000	19163700	731	9.14134778816128e-10	0	5.20367541262228e-09
2L	19163700	19223400	887	4.25223587737827e-09	1.0242610566040771e-09	1.3267976964404456e-08
2L	19223400	19283100	1014	8.202535773404046e-09	1.7023517823390444e-09	1.847391782940813e-08
2L	19283100	19342800	1012	4.1669986918457004e-09	9.390238710715074e-10	1.3182739778871888e-08
2L	19342800	19402500	963	7.589437104827565e-09	1.5358735876998507e-09	1.8353416545936073e-08
2L	19402500	19462200	760	3.489880355176599e-09	6.413697722120628e-10	1.2372160777460938e-08
2L	19462200	19521900	510	3.6918966406087333e-09	8.433860576441972e-10	1.257417706289307e-08
2L	19521900	19581600	615	2.47588830537507e-09	4.286931909417121e-11	8.317413946356684e-09
2L	19581600	19641300	799	4.949223316070614e-09	1.0399329579755504e-09	1.4996933091377723e-08
2L	19641300	19701000	643	1.1722091687740348e-08	2.4752571896403056e-09	2.0514629851955452e-08
2L	19701000	19760700	603	1.8246052836573913e-09	0	6.10060175167463e-09
2L	19760700	19820400	1105	1.0331470480088366e-08	3.2928194625004275e-09	2.0752644803571137e-08
2L	19820400	19880100	1028	1.6221453369609876e-08	6.404785801890726e-09	2.3015216344020685e-08
2L	19880100	19939800	1482	4.509834641137514e-09	1.1625358918475522e-09	1.397937490417821e-08
2L	19939800	19999500	1051	5.129203991386705e-09	1.1885139504378247e-09	1.4551296830659682e-08
2L	19999500	20059200	909	1.835082296215521e-09	0	6.9840007877864716e-09
2L	20059200	20118900	828	1.6252519903310424e-08	6.435852335591274e-09	2.3046282877721233e-08
2L	20118900	20178600	492	1.027219274465675e-08	2.3586686419805428e-09	1.996738006429278e-08
2L	20178600	20238300	197	3.964408298538385e-09	9.629983335295246e-10	1.28586730454665e-08
2L	20238300	20298000	680	4.240456096091334e-09	1.0124812753171412e-09	1.3256197183117521e-08
2L	20298000	20357700	700	3.804681517779756e-09	8.032715527708953e-10	1.269894626470787e-08
2L	20357700	20417400	778	7.3422895288216494e-09	1.8438039952711708e-09	1.7824780892638497e-08
2L	20417400	20477100	603	7.341738615137321e-09	1.843253081586842e-09	1.7824229978954165e-08
2L	20477100	20536800	912	9.660584981111286e-09	2.417571258986627e-09	1.9824568591423075e-08
2L	20536800	20596500	560	3.3797239169634697e-09	6.628509015120435e-10	1.1206469213276687e-08
2L	20596500	20656200	696	5.436036385963739e-09	1.340799480819833e-09	1.587966568066229e-08
2L	20656200	20715900	630	5.643839230624545e-09	1.5486023254806388e-09	1.6087468525323095e-08
2L	20715900	20775600	442	1.3460522636733078e-08	4.135119653581758e-09	2.0831116860576422e-08
2L	20775600	20835300	724	5.638534510275746e-09	1.54329760513184e-09	1.6082163804974294e-08
2L	20835300	20895000	703	9.713972745226613e-09	2.721408861747704e-09	1.9650427915005536e-08
2L	20895000	20954700	551	8.483823361446334e-09	2.0283144118253428e-09	1.8781891226568443e-08
2L	20954700	21014400	493	9.138457427192956e-09	2.2040648781301497e-09	1.9380766339304708e-08
2L	21014400	21074100	361	4.767695853124777e-09	8.584054950297136e-10	1.4815405628431886e-08
2L	21074100	21133800	409	1.2388324382830242e-08	3.7180235721876697e-09	2.1201633132297082e-08
2L	21133800	21193500	312	7.076831124206392e-09	1.5783455906559133e-09	1.7559322488023236e-08
2L	21193500	21253200	295	0	0	2.404525121235679e-08
2L	21253200	21312900	282	3.890901474920457e-09	8.894915099115962e-10	1.2785166221848571e-08
2L	21312900	21372600	260	3.7477245680427396e-09	7.463146030338788e-10	1.2641989314970854e-08
2L	21372600	21432300	129	3.948088245925257e-10	0	4.237717260506252e-09
2L	21551700	21611400	73	3.617191397212662e-09	7.686808142481258e-10	1.2499471819497001e-08
2L	21611400	21671100	156	2.8705459089381635e-09	3.5715616816119087e-10	9.694298094463384e-09
2L	21671100	21730800	196	1.1146325417177574e-09	0	5.40417317552391e-09
2L	21730800	21790500	269	6.472190797433831e-09	1.4234597419879326e-09	1.7022168089207703e-08
2L	21790500	21850200	415	6.141544169383077e-09	1.4642402030225084e-09	1.582466354237712e-08
2L	21850200	21909900	547	7.713918887799764e-09	1.6603553706720496e-09	1.8477898328908276e-08
2L	21909900	21969600	412	6.439399920748848e-09	1.390668865302949e-09	1.698937721252272e-08
2L	21969600	22029300	429	2.500818445054931e-08	1.5451135875800602e-08	2.950886392410068e-08
2L	22029300	22089000	452	5.444255726110364e-09	1.349018820966458e-09	1.5887885020808916e-08
2L	22089000	22148700	330	3.2445024058576233e-09	5.276293904061971e-10	1.1071247702170841e-08
2L	22148700	22208400	247	4.570968563695711e-09	6.616782056006476e-10	1.461867833900282e-08
2L	22208400	22268100	153	4.986464824426329e-10	0	4.646172227511125e-09
2L	22268100	22327800	148	1.0429800677284263e-09	0	5.332520701534579e-09
2L	22327800	22387500	133	5.888272279241248e-09	1.3921206726601254e-09	1.602905551459852e-08
2L	22506900	22566600	121	5.72904272113055e-09	1.6338058159866443e-09	1.61726720158291e-08
2L	22566600	22626300	139	7.2919654450638475e-09	1.7934799115133688e-09	1.7774456808880695e-08
2L	22626300	22686000	127	3.9554476678073425e-09	9.540377027984817e-10	1.2849712414735459e-08
2L	22686000	22745700	191	1.4347987530086373e-09	0	5.710795221025876e-09
2L	22745700	22805400	58	4.651534495378896e-09	7.42244137283832e-10	1.4699244270686004e-08
2L	22924800	22984500	82	3.4813060940834954e-09	6.327955111189592e-10	1.2363586516367833e-08
2L	22984500	23044200	108	7.556467140559652e-09	1.8243012874700968e-09	1.8276419133314425e-08
2L	23163600	23223300	52	5.8947900205463674e-09	1.3986384139652451e-09	1.603557325590364e-08
2L	23283000	23342700	144	4.70385958943611e-09	1.356560840146148e-09	1.4173399852476805e-08
2R	1048900	1110600	55	4.215519530098528e-09	9.875447093243347e-10	1.3231260617124715e-08
2R	1357400	1419100	56	3.741550754921679e-09	8.930401719571426e-10	1.2623831177206016e-08
2R	1727600	1789300	111	1.6577093244133966e-09	0	5.933705792430636e-09
2R	2036100	2097800	63	3.838882208655787e-09	9.903716256912507e-10	1.2721162630940126e-08
2R	2899900	2961600	50	4.173802840876618e-09	9.45828020102425e-10	1.3189543927902803e-08
2R	3270100	3331800	140	3.793109522489968e-09	7.91699557481107e-10	1.2687374269418082e-08
2R	3516900	3578600	99	8.802485796365369e-10	0	4.723157015550263e-09
2R	3640300	3702000	53	3.3037843124275876e-09	5.869112969761614e-10	1.1130529608740805e-08
2R	3763700	3825400	69	4.030230409764512e-09	1.0288204447556508e-09	1.2924495156692628e-08
2R	3887100	3948800	61	3.716881263893183e-09	7.154712988843222e-10	1.2611146010821299e-08
2R	4133900	4195600	100	4.205152693592194e-09	9.771778728180012e-10	1.322089378061838e-08
2R	4380700	4442400	66	2.2679158624138912e-09	0	8.109441503395505e-09
2R	4442400	4504100	68	2.622392240816782e-09	2.2614219798139112e-10	8.915898756747638e-09
2R	4504100	4565800	106	3.2794598727507017e-09	5.625868572992755e-10	1.110620516906392e-08
2R	4565800	4627500	152	5.879956346685139e-09	1.3838047401040165e-09	1.602073958204241e-08
2R	4627500	4689200	93	2.4710532753376e-09	7.480323250220926e-11	8.764559791268457e-09
2R	4689200	4750900	173	3.2689908279971216e-09	5.521178125456954e-10	1.109573612431034e-08
2R	4750900	4812600	106	1.7931656831693298e-09	0	6.94208417474028e-09
2R	4812600	4874300	140	2.0310413390389185e-09	0	7.179959830609869e-09
2R	4874300	4936000	176	1.3873984900129107e-09	0	5.919630191061682e-09
2R	4936000	4997700	204	6.137014996229037e-09	1.4597110298684687e-09	1.582013436922308e-08
2R	4997700	5059400	289	1.2854418322990544e-09	0	5.817673533347826e-09
2R	5059400	5121100	278	1.0581542010082989e-08	2.6680179074067822e-09	2.027672932971902e-08
2R	5121100	5182800	234	3.0658849632727744e-09	5.524952224958017e-10	9.889637148797995e-09
2R	5182800	5244500	180	9.682349401212088e-09	2.6897855177331797e-09	1.9618804570991013e-08
2R	5244500	5306200	269	4.595647924319076e-09	6.863575662240121e-10	1.4643357699626185e-08
2R	5306200	5367900	247	6.324547053201219e-09	1.2758159977553199e-09	1.687452434497509e-08
2R	5367900	5429600	146	8.766944756991441e-09	1.916501855162429e-09	1.979571731886329e-08
2R	5429600	5491300	307	1.1747092726890034e-08	3.2733868787790104e-09	2.1196972760930383e-08
2R	5491300	5553000	320	4.296116910473171e-09	1.0681420896989782e-09	1.3311857997499358e-08
2R	5553000	5614700	123	0	0	2.404525121235679e-08
2R	5614700	5676400	175	3.19030170929358e-09	4.734286938421537e-10	1.1017047005606798e-08
2R	5676400	5738100	477	1.1113756402216149e-08	2.881917702636707e-09	2.037955186644671e-08
2R	5738100	5799800	340	1.4214568202175465e-08	4.368409136323843e-09	2.1266192686508737e-08
2R	5799800	5861500	582	3.938617002038394e-09	9.372070370295332e-10	1.2832881748966508e-08
2R	5861500	5923200	420	7.757539346022567e-09	1.7039758288948528e-09	1.852151878713108e-08
2R	5923200	5984900	237	0	0	2.404525121235679e-08
2R	5984900	6046600	201	5.565438289343967e-10	0	4.399452264848123e-09
2R	6046600	6108300	357	5.1347704097751545e-09	1.194080368826274e-09	1.4556863249048131e-08
2R	6108300	6170000	372	6.771696984910349e-09	1.5036403273401077e-09	1.8333212640865996e-08
2R	6170000	6231700	396	6.982647506636051e-09	1.7145908490658098e-09	1.85441631625917e-08
2R	6231700	6293400	141	7.2737195881791914e-09	1.7752340546287128e-09	1.7756210951996037e-08
2R	6478500	6540200	517	3.804588294872928e-09	8.031783298640673e-10	1.2698853041801042e-08
2R	6540200	6601900	642	3.13902940802261e-08	2.2894685063947e-08	3.560414885645104e-08
2R	6601900	6663600	434	2.0772372204587963e-09	0	7.226155712029747e-09
2R	6663600	6725300	402	2.5652308745852737e-09	1.6898083174988295e-10	8.85873739051613e-09
2R	6725300	6787000	431	5.708917804931148e-09	1.6136808997872421e-09	1.61525470996297e-08
2R	6787000	6848700	562	5.054382686059424e-09	1.1450923279643603e-09	1.5102092461366533e-08
2R	6848700	6910400	626	4.180490180482111e-09	9.52515359707918e-10	1.3196231267508296e-08
2R	6910400	6972100	481	5.898882843106398e-09	1.4027312365252755e-09	1.603966607846367e-08
2R	6972100	7033800	488	6.820391914133758e-09	1.5523352565635166e-09	1.8381907570089406e-08
2R	7033800	7095500	677	6.709986708407217e-09	1.6612556529613186e-09	1.725996400018109e-08
2R	7095500	7157200	659	9.09655148423851e-09	2.1621589351757033e-09	1.933886039635026e-08
2R	7157200	7218900	405	3.6878925482853226e-09	8.393819653207864e-10	1.257017297056966e-08
2R	7218900	7280600	466	7.354632246687191e-09	1.6224663935976363e-09	1.807458423944196e-08
2R	7280600	7342300	581	0	0	2.404525121235679e-08
2R	7342300	7404000	608	6.779569184597938e-09	1.7308381291520389e-09	1.7329546476371807e-08
2R	7404000	7465700	515	6.290982064681037e-10	0	4.47200664238183e-09
2R	7465700	7527400	375	8.311899782574928e-10	0	5.120730612063645e-09
2R	7527400	7589100	472	5.283729383211333e-09	1.3430393422624526e-09	1.470582222248431e-08
2R	7589100	7650800	679	4.699990277218957e-09	1.3526915279289956e-09	1.4169530540259653e-08
2R	7650800	7712500	660	3.8248401290057224e-09	8.234301639968617e-10	1.2719104875933837e-08
2R	7712500	7774200	597	1.0868744477603356e-08	3.1605800375355233e-09	2.0218477332205524e-08
2R	7774200	7835900	490	0	0	2.404525121235679e-08
2R	7835900	7897600	620	1.736243445994743e-09	0	6.012239914011982e-09
2R	7897600	7959300	649	1.0205347187738701e-08	3.1666961701507627e-09	2.0626521511221474e-08
2R	7959300	8021000	580	1.763185989235688e-09	0	6.039182457252927e-09
2R	8021000	8082700	500	8.703331858335634e-09	2.2478229087146425e-09	1.9001399723457743e-08
2R	8082700	8144400	314	1.1081619770630291e-08	2.8497810710508495e-09	2.0347415234860855e-08
2R	8144400	8206100	597	1.0070547145256798e-08	3.0318961276688592e-09	2.0491721468739572e-08
2R	8206100	8267800	677	7.26400610323941e-09	1.531840250149855e-09	1.7983958095994182e-08
2R	8267800	8329500	726	6.33063841212774e-09	1.653334445767172e-09	1.6013757785121783e-08
2R	8329500	8391200	460	9.109911562271318e-09	2.1755190132085115e-09	1.935222047438307e-08
2R	8391200	8452900	552	7.300607096210081e-09	1.8021215626596023e-09	1.7783098460026928e-08
2R	8452900	8514600	519	4.321603828566531e-09	1.093629007792338e-09	1.3337344915592717e-08
2R	8514600	8576300	628	1.5181467707184947e-09	0	5.794143238735734e-09
2R	8576300	8638000	736	8.005534431092255e-09	1.5053504400272534e-09	1.827691648709634e-08
2R	8638000	8699700	572	9.606417776479508e-10	0	5.250182411454103e-09
2R	8699700	8761400	533	5.414095554500469e-11	0	2.4099392167901795e-08
2R	8761400	8823100	535	3.529849395687365e-09	6.813388127228287e-10	1.2412129817971704e-08
2R	8823100	8884800	481	2.633945142258184e-09	2.3769509942279317e-10	8.92745165818904e-09
2R	8884800	8946500	337	0	0	2.404525121235679e-08
2R	8946500	9008200	541	7.1565878136682515e-09	1.6581022801177729e-09	1.76390791774851e-08
2R	9008200	9069900	832	1.4218145473176292e-08	4.559827971849784e-09	2.1716441901386276e-08
2R	9069900	9131600	459	8.682283698408366e-09	2.2267747487873747e-09	1.8980351563530475e-08
2R	9131600	9193300	458	6.359225834248807e-09	1.6819218678882387e-09	1.604234520724285e-08
2R	9193300	9255000	712	1.4434349909571826e-08	4.5881908437202035e-09	2.1485974393905098e-08
2R	9255000	9316700	500	1.7627771562467047e-09	0	6.038773624263944e-09
2R	9316700	9378400	610	7.294832559875685e-09	1.5626667067861303e-09	1.8014784552630457e-08
2R	9378400	9440100	795	3.439893783268217e-09	5.91383200303681e-10	1.2322174205552554e-08
2R	9440100	9501800	675	1.4904805616140209e-09	0	6.022712262662792e-09
2R	9501800	9563500	509	4.7424808288842964e-09	1.3951820795943348e-09	1.4212021091924992e-08
2R	9563500	9625200	581	1.976757661635337e-10	0	4.345201511232026e-09
2R	9625200	9686900	640	6.456671741974018e-10	0	4.488575610111128e-09
2R	9686900	9748600	606	8.886624619009459e-10	0	5.178203095707098e-09
2R	9748600	9810300	986	6.3670370432827825e-09	1.3183059878368837e-09	1.6917014335056654e-08
2R	9810300	9872000	671	3.3284344706945965e-09	6.115614552431703e-10	1.1155179767007814e-08
2R	9872000	9933700	457	1.6223879512334212e-09	0	5.89838441925066e-09
2R	9933700	9995400	573	7.554566683419778e-09	1.501003166292064e-09	1.831854612452829e-08
2R	9995400	10057100	516	4.421099028837185e-10	0	4.285018338797445e-09
2R	10057100	10118800	579	7.289878267803158e-09	1.5577124147136033e-09	1.8009830260557928e-08
2R	10118800	10180500	863	7.640942199266451e-09	1.5873786821387374e-09	1.8404921640374963e-08
2R	10180500	10242200	858	1.2364781457175736e-08	3.6944806465331637e-09	2.1178090206642576e-08
2R	10242200	10303900	1259	3.11758896513502e-09	4.007159496835937e-10	1.0944334261448238e-08
2R	10303900	10365600	1134	1.2991819864481947e-08	4.348515481155225e-09	2.1351457513262394e-08
2R	10365600	10427300	1278	4.892805574063888e-09	1.5455068247739264e-09	1.4362345837104584e-08
2R	10427300	10489000	1082	3.740219562459282e-09	7.38809597450421e-10	1.2634484309387398e-08
2R	10489000	10550700	514	7.403775881347684e-09	1.671610028258129e-09	1.8123727874102456e-08
2R	10550700	10612400	773	3.5862118371624315e-10	0	4.506146928784735e-09
2R	10612400	10674100	748	1.4474385346805758e-09	0	5.979670235729347e-09
2R	10674100	10735800	950	2.0166378383501627e-09	0	7.165556329921113e-09
2R	10735800	10797500	1009	2.8103272806297066e-09	2.9693753985273395e-10	9.634079466154927e-09
2R	10797500	10859200	1017	1.7829785534713407e-09	0	6.931897045042291e-09
2R	10859200	10920900	1153	9.71916133536421e-10	0	5.2614567673425735e-09
2R	10920900	10982600	1051	4.216145134425074e-09	9.881703136508806e-10	1.323188622145126e-08
2R	10982600	11044300	813	7.874589129302199e-09	1.821025612174485e-09	1.8638568570410708e-08
2R	11044300	11106000	878	4.572434384656525e-09	1.2251356353665633e-09	1.404197464769722e-08
2R	11106000	11167700	1184	6.041504087997752e-10	0	4.447058844713502e-09
2R	11167700	11229400	1077	2.2013771702894943e-09	0	8.042902811271109e-09
2R	11229400	11291100	1174	2.3183348538298492e-09	0	8.159860494811463e-09
2R	11291100	11352800	746	3.1538515527236947e-09	4.369785372722685e-10	1.0980596849036913e-08
2R	11352800	11414500	1033	2.086597698838404e-09	0	7.235516190409354e-09
2R	11414500	11476200	936	1.7256295126269369e-09	0	6.001625980644176e-09
2R	11476200	11537900	1028	6.67565885861254e-09	1.4076022010422987e-09	1.8237174514568187e-08
2R	11537900	11599600	1121	3.8013973758572736e-09	7.999874108484128e-10	1.2695662122785388e-08
2R	11599600	11661300	759	6.8196602378730716e-12	0	2.4052070872594663e-08
2R	11661300	11723000	944	4.533090065461945e-10	0	4.296217442459921e-09
2R	11723000	11784700	988	2.360836037768136e-10	0	4.383609348845306e-09
2R	11784700	11846400	936	5.1250432171897695e-09	1.184353176240889e-09	1.4547136056462746e-08
2R	11846400	11908100	766	2.995882422417549e-09	4.824926816405763e-10	9.819634607942769e-09
2R	11908100	11969800	946	1.8139150805277254e-09	0	6.962833572098676e-09
2R	11969800	12031500	966	4.335215496131022e-09	1.107240675356829e-09	1.3350956583157207e-08
2R	12031500	12093200	1055	1.9704329715898663e-09	0	7.119351463160817e-09
2R	12093200	12154900	637	3.763725212990652e-09	7.623152479817914e-10	1.2657989959918768e-08
2R	12154900	12216600	512	9.46560626046662e-10	0	5.236101259852814e-09
2R	12216600	12278300	1120	4.099013359914135e-09	8.710385391399423e-10	1.3114754446940322e-08
2R	12278300	12340000	983	3.849315312047696e-09	1.00080472908316e-09	1.2731595734332035e-08
2R	12340000	12401700	917	5.131786153589095e-09	1.1910961126402145e-09	1.4553878992862072e-08
2R	12401700	12463400	1082	4.044699054171292e-09	1.0432890891624316e-09	1.2938963801099408e-08
2R	12463400	12525100	928	3.494822292406053e-09	6.46311709441517e-10	1.237710271469039e-08
2R	12525100	12586800	1074	4.93420881223349e-09	1.0249184541384265e-09	1.49819185875406e-08
2R	12586800	12648500	1167	3.1194612854444526e-09	4.0258826999302635e-10	1.094620658175767e-08
2R	12648500	12710200	1254	2.2764283492916274e-09	0	8.117953990273242e-09
2R	12710200	12771900	1105	4.521822208421597e-09	1.1745234591316356e-09	1.3991362471462293e-08
2R	12771900	12833600	807	2.2842399796168217e-09	0	8.125765620598436e-09
2R	12833600	12895300	912	1.4216910417151164e-09	0	5.953922742763888e-09
2R	12895300	12957000	1017	0	0	2.404525121235679e-08
2R	12957000	13018700	1097	9.96035033551263e-10	0	5.285575667357415e-09
2R	13018700	13080400	1440	4.599172424097719e-09	6.898820660026555e-10	1.4646882199404828e-08
2R	13080400	13142100	1115	0	0	2.404525121235679e-08
2R	13142100	13203800	1062	2.328447752647384e-10	0	2.4278095987621528e-08
2R	13203800	13265500	1075	2.4803452404965267e-09	8.409519766113593e-11	8.773851756427383e-09
2R	13265500	13327200	1170	0	0	2.404525121235679e-08
2R	13327200	13388900	1211	7.279967769271795e-09	1.781482235721316e-09	1.776245913308864e-08
2R	13388900	13450600	1163	2.6464123020870347e-09	2.5016225925164394e-10	8.939918818017891e-09
2R	13450600	13512300	1213	3.6892580811156366e-09	6.878481161067758e-10	1.2583522828043751e-08
2R	13512300	13574000	1875	6.161991434669946e-09	1.4846874683093775e-09	1.5845110807663987e-08
2R	13574000	13635700	1217	2.5899057425384314e-09	1.9365569970304072e-10	8.883412258469288e-09
2R	13635700	13697400	1109	2.1571187528970708e-09	0	7.998644393878685e-09
2R	13697400	13759100	1148	3.046959590019066e-09	5.335698492420935e-10	9.870711775544286e-09
2R	13759100	13820800	1076	3.920673277225264e-09	9.192633122164036e-10	1.2814938024153379e-08
2R	13820800	13882500	1246	1.5185645890478931e-09	0	5.794561057065132e-09
2R	13882500	13944200	1222	4.563499586779182e-09	1.2162008374892202e-09	1.4033039849819877e-08
2R	13944200	14005900	803	4.761756630414275e-09	1.4144578811243132e-09	1.423129689345497e-08
2R	14005900	14067600	929	4.115625961921936e-09	1.1142159969130751e-09	1.300989070885005e-08
2R	14067600	14129300	1003	5.7430385119978755e-09	1.6478016068539695e-09	1.6186667806696425e-08
2R	14129300	14191000	678	4.351490193961658e-09	1.123515373187465e-09	1.3367231280987845e-08
2R	14191000	14252700	827	8.450902998828864e-10	0	5.134630933689039e-09
2R	14252700	14314400	810	3.64591303785621e-09	7.974024548916737e-10	1.2528193460140547e-08
2R	14314400	14376100	916	2.2324484774521372e-09	0	8.073974118433751e-09
2R	14376100	14437800	1137	7.28131259043717e-10	0	4.5710396949574436e-09
2R	14437800	14499500	944	6.72506475289646e-09	1.457008095326219e-09	1.828658040885211e-08
2R	14499500	14561200	871	3.817708015049579e-09	8.162980500407179e-10	1.2711972761977693e-08
2R	14561200	14622900	882	7.224826981466604e-09	1.7263414479161258e-09	1.7707318345283448e-08
2R	14622900	14684600	1239	7.924666677782304e-09	1.8711031606545897e-09	1.8688646118890814e-08
2R	14684600	14746300	1165	5.171298626489913e-09	1.2306085855410323e-09	1.459339146576289e-08
2R	14746300	14808000	1129	1.8920819263195203e-09	0	7.041000417890471e-09
2R	14808000	14869700	1099	2.1744121636975055e-09	0	8.01593780467912e-09
2R	14869700	14931400	918	3.6384810381636414e-09	7.899704551991052e-10	1.252076146044798e-08
2R	14931400	14993100	1159	1.0247095011576214e-09	0	5.314250134963774e-09
2R	14993100	15054800	864	2.959006585345401e-09	4.456168445684283e-10	9.782758770870621e-09
2R	15054800	15116500	862	4.120989086983446e-09	1.1195791219745854e-09	1.3015253833911562e-08
2R	15116500	15178200	979	0	0	2.404525121235679e-08
2R	15178200	15239900	890	1.0273040182030857e-09	0	5.316844652009238e-09
2R	15239900	15301600	871	5.829787004417694e-10	0	4.425887136355496e-09
2R	15301600	15363300	716	0	0	2.404525121235679e-08
2R	15363300	15425000	886	2.041623823715264e-09	0	7.190542315286214e-09
2R	15425000	15486700	761	1.966204245756025e-09	0	7.115122737326976e-09
2R	15486700	15548400	896	3.0598240484412575e-11	0	2.4075849452841202e-08
2R	15548400	15610100	1080	2.1708326287088083e-09	0	8.012358269690422e-09
2R	15610100	15671800	716	7.3785564371022e-10	0	4.5807640796239465e-09
2R	15671800	15733500	855	5.836965985459092e-09	1.3408143788779693e-09	1.5977749220816363e-08
2R	15733500	15795200	862	6.83464434878675e-09	1.5665876912165084e-09	1.8396160004742398e-08
2R	15795200	15856900	1062	5.2690799088286556e-09	1.328389867879775e-09	1.4691172748101632e-08
2R	15856900	15918600	961	2.920688601136293e-09	4.0729886035932056e-10	9.744440786661513e-09
2R	15918600	15980300	967	1.7195622671419158e-09	0	6.868480758712866e-09
2R	15980300	16042000	947	2.3103906897335017e-09	0	8.151916330715116e-09
2R	16042000	16103700	1029	2.827292726504915e-09	3.139029857279424e-10	9.651044912030135e-09
2R	16103700	16165400	1277	5.307985309667538e-09	1.3672952687186578e-09	1.4730078148940515e-08
2R	16165400	16227100	1229	1.2379992348962898e-09	0	5.770230935945061e-09
2R	16227100	16288800	1594	1.839345734611792e-09	0	6.115342202629031e-09
2R	16288800	16350500	1189	3.129373239092164e-09	4.12500223640738e-10	1.0956118535405382e-08
2R	16350500	16412200	1143	2.446277116030221e-09	1.3258129749321837e-11	8.287802757011835e-09
2R	16412200	16473900	1196	1.5744878382409614e-10	0	2.4202699996180886e-08
2R	16473900	16535600	1192	1.2765036649190537e-09	0	5.808735365967825e-09
2R	16535600	16597300	1326	2.4191368953000977e-09	0	8.260662536281712e-09
2R	16597300	16659000	1072	0	0	2.404525121235679e-08
2R	16659000	16720700	1130	4.535476556353069e-09	1.1881778070631075e-09	1.4005016819393765e-08
2R	16720700	16782400	1364	6.161918881263615e-10	0	4.459100324040088e-09
2R	16782400	16844100	1137	7.402356357532232e-10	0	4.58314407166695e-09
2R	16844100	16905800	1011	0	0	2.404525121235679e-08
2R	16905800	16967500	1164	1.6014801872501726e-09	0	5.877476655267412e-09
2R	16967500	17029200	1035	2.650383822551434e-09	2.541337797160431e-10	8.94389033848229e-09
2R	17029200	17090900	694	0	0	2.404525121235679e-08
2R	17090900	17152600	1054	0	0	2.404525121235679e-08
2R	17152600	17214300	977	9.840104017379595e-10	0	5.273551035544112e-09
2R	17214300	17276000	956	0	0	2.404525121235679e-08
2R	17276000	17337700	992	2.521785630500608e-09	1.2553558766521734e-10	8.815292146431465e-09
2R	17337700	17399400	778	5.436330179224461e-10	0	4.386541453836173e-09
2R	17399400	17461100	714	0	0	2.404525121235679e-08
2R	17461100	17522800	1028	1.2843613451138866e-09	0	5.816593046162658e-09
2R	17522800	17584500	715	2.7649726517063882e-09	2.515829109294156e-10	9.588724837231608e-09
2R	17584500	17646200	1153	7.339478802022398e-09	1.8409932684719192e-09	1.7821970165839243e-08
2R	17646200	17707900	1416	8.468289632536117e-10	0	5.136369597059764e-09
2R	17707900	17769600	1079	1.0876765204661855e-09	0	5.377217154272338e-09
2R	17769600	17831300	820	3.778152995285141e-10	0	4.220723735442241e-09
2R	17831300	17893000	1452	4.53620886159707e-09	1.1889101123071085e-09	1.4005749124637766e-08
2R	17893000	17954700	1462	1.3141297779160381e-09	0	5.8463614789648096e-09
2R	17954700	18016400	1035	1.7702417277982865e-09	0	6.0462381958155256e-09
2R	18016400	18078100	1094	8.776778832409309e-10	0	5.167218517047083e-09
2R	18078100	18139800	835	0	0	2.404525121235679e-08
2R	18139800	18201500	819	1.328324369440094e-09	0	5.860556070488865e-09
2R	18201500	18263200	1101	2.6239208718552562e-09	2.276708290198655e-10	8.917427387786113e-09
2R	18263200	18324900	1121	2.2119574086307346e-09	0	8.053483049612349e-09
2R	18324900	18386600	832	4.063583993393123e-09	1.0621740283842621e-09	1.2957848740321239e-08
2R	18386600	18448300	1135	6.930160763756586e-09	1.6621041061863444e-09	1.8491676419712234e-08
2R	18448300	18510000	1166	2.511380606297502e-09	1.1513056346211131e-10	8.804887122228359e-09
2R	18510000	18571700	1114	1.7662859316796177e-09	0	6.042282399696857e-09
2R	18571700	18633400	1092	3.585837051826877e-09	7.37326468862341e-10	1.2468117474111214e-08
2R	18633400	18695100	1204	1.174595262973914e-10	0	2.416271073865418e-08
2R	18695100	18756800	1207	2.891705262453095e-09	3.7831552167612217e-10	9.715457447978315e-09
2R	18756800	18818500	1372	5.701205574934318e-09	1.6059686697904123e-09	1.6144834869632868e-08
2R	18818500	18880200	928	2.9846833187550745e-09	4.712935779781019e-10	9.808435504280295e-09
2R	18880200	18941900	903	0	0	2.404525121235679e-08
2R	18941900	19003600	956	2.075535621617291e-09	0	7.224454113188242e-09
2R	19003600	19065300	1095	8.984044948173052e-11	0	4.2373661945502225e-09
2R	19065300	19127000	1056	9.742523220448908e-10	0	5.263792955851043e-09
2R	19127000	19188700	1306	0	0	2.404525121235679e-08
2R	19188700	19250400	1200	1.7344880407424217e-09	0	6.883406532313372e-09
2R	19250400	19312100	1099	0	0	2.404525121235679e-08
2R	19312100	19373800	1032	0	0	2.404525121235679e-08
2R	19373800	19435500	1290	1.7546488983034914e-09	0	6.903567389874442e-09
2R	19435500	19497200	729	0	0	2.404525121235679e-08
2R	19497200	19558900	1041	2.9286496127459236e-09	4.1525987196895095e-10	9.752401798271144e-09
2R	19558900	19620600	752	1.206855798678632e-08	3.484323863254277e-09	2.056136471133343e-08
2R	19620600	19682300	994	1.7663916150612072e-09	0	6.915310106632158e-09
