chrom	start	end	nSites	recombRate
2R	11153000	11211700	1198	1.1988017104328294e-08
2R	11211700	11270400	1447	5.589994765895657e-09
2R	11270400	11329100	826	4.52351671765294e-09
2R	11329100	11387800	933	6.01891787738782e-09
2R	11387800	11446500	1505	1.068913600706243e-08
2R	11446500	11505200	946	9.20507961452214e-09
2R	11505200	11563900	1361	1.2669357056144959e-08
2R	11563900	11622600	990	4.949412452415111e-09
2R	11622600	11681300	852	1.2637752884156334e-09
2R	11681300	11740000	993	3.5784371530437982e-09
2R	11740000	11798700	1194	3.029846937679811e-09
2R	11798700	11857400	908	1.3574763491630308e-08
2R	11857400	11916100	895	2.8935946820055187e-09
2R	11916100	11974800	1014	6.880626148778818e-09
2R	11974800	12033500	1036	8.667288245958807e-09
2R	12033500	12092200	1158	1.1872586523182945e-08
2R	12092200	12150900	651	8.848638714671604e-09
2R	12150900	12209600	371	4.204079971446562e-09
2R	12209600	12268300	1284	8.48173001685434e-09
2R	12268300	12327000	1204	1.7587204084342008e-08
2R	12327000	12385700	899	8.850694375659092e-09
2R	12385700	12444400	1169	9.700937190842791e-09
2R	12444400	12503100	1090	1.3355807962062885e-08
2R	12503100	12561800	1188	1.1350268726776998e-08
2R	12561800	12620500	1015	7.655909807723619e-09
2R	12620500	12679200	1462	1.0604698815554478e-08
2R	12679200	12737900	1200	9.610882320570407e-09
2R	12737900	12796600	1067	1.6922717732785985e-08
2R	12796600	12855300	951	4.908459399392526e-09
2R	12855300	12914000	906	2.7716186958064615e-09
2R	12914000	12972700	1047	3.2076444120932503e-09
2R	12972700	13031400	1256	3.7231116971096214e-09
2R	13031400	13090100	1678	1.278756715037037e-08
2R	13090100	13148800	1186	1.8158925555809223e-09
2R	13148800	13207500	972	4.1767444740354586e-09
2R	13207500	13266200	1160	8.852334956677636e-09
2R	13266200	13324900	1328	2.558939840850899e-09
2R	13324900	13383600	1297	2.2297750250224556e-08
2R	13383600	13442300	1291	7.936270384245233e-09
2R	13442300	13501000	1287	1.328290982450129e-08
2R	13501000	13559700	1465	9.385031444209155e-09
2R	13559700	13618400	1476	1.5026069172273393e-08
2R	13618400	13677100	1172	8.732612584005601e-09
2R	13677100	13735800	1185	1.6570409920525304e-08
2R	13735800	13794500	1324	2.3646118918407004e-08
2R	13794500	13853200	1277	4.250217012342117e-09
2R	13853200	13911900	1193	6.415353085767461e-09
2R	13911900	13970600	1040	1.7745361959790225e-08
2R	13970600	14029300	847	8.008360074611887e-09
2R	14029300	14088000	1175	1.3628101267639233e-08
2R	14088000	14146700	1061	9.654555952085074e-09
2R	14146700	14205400	572	1.1799337315946532e-08
2R	14205400	14264100	731	7.697667078186027e-09
2R	14264100	14322800	825	9.748556901899143e-09
2R	14322800	14381500	1024	4.07609773297954e-09
2R	14381500	14440200	1114	3.580118903678829e-09
2R	14440200	14498900	1003	2.2650028507071347e-08
2R	14498900	14557600	1029	6.861039562744413e-09
2R	14557600	14616300	926	1.4854518905177823e-08
2R	14616300	14675000	1254	1.7665751200855908e-08
2R	14675000	14733700	1254	2.2709377047087028e-08
2R	14733700	14792400	1168	8.868105739628e-09
2R	14792400	14851100	1066	8.234434846010733e-09
2R	14851100	14909800	570	4.9594149773188316e-09
2R	14909800	14968500	1113	8.137511417393603e-09
2R	14968500	15027200	867	4.365681431528411e-09
2R	15027200	15085900	969	9.208596514911155e-09
2R	15085900	15144600	664	2.6371350417389604e-09
2R	15144600	15203300	1369	3.941356909800846e-09
2R	15203300	15262000	723	3.1952923992131597e-09
2R	15262000	15320700	928	2.502182166837004e-09
2R	15320700	15379400	686	6.808817314152018e-09
2R	15379400	15438100	1090	4.9383135749847315e-09
2R	15438100	15496800	871	5.0970591044107155e-09
2R	15496800	15555500	1161	1.302615719748474e-09
2R	15555500	15614200	1168	1.2712435420122646e-08
2R	15614200	15672900	808	5.092305987592461e-09
2R	15672900	15731600	906	1.565745924093904e-08
2R	15731600	15790300	926	1.0784762874743966e-08
2R	15790300	15849000	1109	1.2235175231106067e-08
2R	15849000	15907700	883	1.545404890738234e-08
2R	15907700	15966400	997	3.783719012248504e-09
2R	15966400	16025100	945	5.895869225290766e-09
2R	16025100	16083800	884	8.72348702832974e-09
2R	16083800	16142500	1354	8.061315480758118e-09
2R	16142500	16201200	1196	7.572281345394283e-09
2R	16201200	16259900	1462	1.1468367437450961e-08
2R	16259900	16318600	1386	1.7194221907049095e-08
2R	16318600	16377300	1099	4.031176605688653e-09
2R	16377300	16436000	1245	7.251734711444865e-09
2R	16436000	16494700	1395	5.5793267595199925e-09
2R	16494700	16553400	1110	7.705399634509601e-09
2R	16553400	16612100	1271	5.0663127324722266e-09
2R	16612100	16670800	1178	2.7541357079842166e-09
2R	16670800	16729500	1086	1.0094454996125513e-08
2R	16729500	16788200	1383	3.7139675305112374e-09
2R	16788200	16846900	1191	3.0704356677948746e-09
2R	16846900	16905600	934	2.2568811845398307e-09
2R	16905600	16964300	1316	7.422537862794708e-09
2R	16964300	17023000	1158	9.860032943992568e-09
2R	17023000	17081700	645	3.1967079572594123e-09
2R	17081700	17140400	1273	3.2577066657385737e-09
2R	17140400	17199100	950	5.720894971426947e-09
2R	17199100	17257800	1144	5.370463707648473e-09
2R	17257800	17316500	1127	1.1072778744062326e-08
2R	17316500	17375200	870	1.8498625648868936e-09
2R	17375200	17433900	845	5.34261048821089e-09
2R	17433900	17492600	877	3.052533088264897e-09
2R	17492600	17551300	1008	6.716430438891086e-09
2R	17551300	17610000	742	6.524371358153489e-09
2R	17610000	17668700	1370	2.1648041817100798e-08
2R	17668700	17727400	1294	4.2179208581282875e-09
2R	17727400	17786100	1175	4.1781667996898996e-09
2R	17786100	17844800	912	5.964613461342531e-09
2R	17844800	17903500	1659	1.4085842123727784e-08
2R	17903500	17962200	1491	6.566570779017595e-09
2R	17962200	18020900	1163	4.569273644555199e-09
2R	18020900	18079600	1204	3.2968031382479065e-09
2R	18079600	18138300	936	1.465603411574423e-09
2R	18138300	18197000	900	3.3556046299349567e-09
2R	18197000	18255700	1184	1.0273219110575316e-08
2R	18255700	18314400	1287	8.740334988916892e-09
2R	18314400	18373100	813	1.1749635437437285e-08
2R	18373100	18431800	1451	2.286901815666339e-08
2R	18431800	18490500	1425	3.8554669384016006e-09
2R	18490500	18549200	1287	1.9308448924142288e-09
2R	18549200	18607900	1074	1.2830776918740396e-08
2R	18607900	18666600	1198	2.0901792037526786e-09
2R	18666600	18725300	1379	7.97733510280294e-09
2R	18725300	18784000	1413	1.5838806008616113e-08
2R	18784000	18842700	1230	1.8004883096811396e-08
2R	18842700	18901400	905	3.307004179658511e-09
2R	18901400	18960100	1037	4.672780828005777e-09
2R	18960100	19018800	1016	4.077652026993671e-09
2R	19018800	19077500	1005	2.369268597869412e-09
2R	19077500	19136200	1161	5.046664110029419e-09
2R	19136200	19194900	1332	8.209555990372329e-09
2R	19194900	19253600	1214	5.3929141198816316e-09
2R	19253600	19312300	971	2.3132147551071988e-09
2R	19312300	19371000	1054	1.6823600267355465e-10
2R	19371000	19429700	1340	7.686530978910606e-09
2R	19429700	19488400	767	3.750439575249365e-10
2R	19488400	19547100	1149	1.1431211012622549e-08
2R	19547100	19605800	1048	2.180086174158974e-08
2R	19605800	19664500	886	4.65111658625727e-09
2R	19664500	19723200	856	6.177076880770735e-09
2R	19723200	19781900	170	7.100952400988239e-09
2R	19781900	19840600	1114	8.677240577768457e-09
2R	19840600	19899300	951	1.2331937083077679e-08
2R	19899300	19958000	1045	1.3601806008003552e-08
2R	19958000	20016700	981	5.96346184001566e-09
2R	20016700	20075400	1156	1.2458933224634791e-08
2R	20075400	20134100	858	7.420232364271567e-09
2R	20134100	20192800	1096	2.071913091440681e-08
2R	20192800	20251500	1399	1.347595951388759e-08
2R	20251500	20310200	1229	4.090296174960598e-09
2R	20310200	20368900	941	1.508480806358469e-08
2R	20368900	20427600	1046	9.84820993248594e-09
2R	20427600	20486300	1283	1.1252124308849058e-08
2R	20486300	20545000	1347	1.845425030669228e-08
2R	20545000	20603700	1262	6.237291674634642e-09
2R	20603700	20662400	1198	7.40542145374938e-09
2R	20662400	20721100	1148	1.1392441077208349e-08
2R	20721100	20779800	1395	5.593361650969811e-09
2R	20779800	20838500	1160	6.46733282839974e-09
2R	20838500	20897200	1636	8.744775103856393e-09
2R	20897200	20955900	1355	9.005236092464849e-09
2R	20955900	21014600	1269	4.130769855736444e-09
2R	21014600	21073300	1644	1.2671687651215135e-08
2R	21073300	21132000	1554	1.1043288327410295e-08
2R	21132000	21190700	1147	4.872673415222438e-09
2R	21190700	21249400	1467	1.836567162095618e-08
2R	21249400	21308100	1461	1.4003619631999767e-08
2R	21308100	21366800	911	3.1031390064347565e-09
2R	21366800	21425500	1385	1.534886124222327e-08
2R	21425500	21484200	1348	1.472122071047814e-08
2R	21484200	21542900	1425	1.565616155206875e-08
2R	21542900	21601600	1225	1.930265557526076e-08
2R	21601600	21660300	946	1.5473989800191681e-09
2R	21660300	21719000	1229	9.7587872696119e-09
2R	21719000	21777700	1222	8.833248045714539e-09
2R	21777700	21836400	1327	7.943300237251823e-09
2R	21836400	21895100	1715	2.4968661265804555e-08
2R	21895100	21953800	1532	2.1102150749469625e-08
2R	21953800	22012500	1485	1.7353997804821894e-08
2R	22012500	22071200	1428	2.501883687688705e-08
2R	22071200	22129900	1293	6.268520802623963e-09
2R	22129900	22188600	1424	2.3560225563203664e-08
2R	22188600	22247300	1131	1.538865717523733e-08
2R	22247300	22306000	1159	8.588889452857719e-09
2R	22306000	22364700	1112	1.2637811824456463e-08
2R	22364700	22423400	1172	1.0071714140707565e-08
2R	22423400	22482100	1394	2.5472274521110097e-08
2R	22482100	22540800	1152	1.1215221669327744e-08
2R	22540800	22599500	1154	2.1218078749816885e-08
2R	22599500	22658200	1220	1.1294845399511087e-08
2R	22658200	22716900	1462	1.0092670603432946e-08
2R	22716900	22775600	1078	1.1393290976003449e-08
2R	22775600	22834300	1096	9.106475563204677e-09
2R	22834300	22893000	1388	9.05263585625505e-09
2R	22893000	22951700	984	2.2099281680564383e-08
2R	22951700	23010400	1334	9.689228664708028e-09
2R	23010400	23069100	1251	1.086196154532616e-08
2R	23069100	23127800	1313	5.090280216874476e-09
2R	23127800	23186500	1076	5.8055848203072965e-09
2R	23186500	23245200	1270	6.30951107749159e-09
2R	23245200	23303900	1378	9.637010927854428e-09
2R	23303900	23362600	1200	2.8394132108423336e-09
2R	23362600	23421300	837	9.703594041024423e-09
2R	23421300	23480000	1354	1.0329673370155392e-08
2R	23480000	23538700	1118	1.7396438180735906e-08
2R	23538700	23597400	1100	1.4776839452430518e-08
2R	23597400	23656100	1432	1.2718991540555987e-08
2R	23656100	23714800	1150	1.4265525504956628e-08
2R	23714800	23773500	1242	1.6475753499659738e-08
2R	23773500	23832200	1247	2.575145866174148e-08
2R	23832200	23890900	623	1.5724662007521724e-09
2R	23890900	23949600	726	3.1594522741775577e-09
2R	23949600	24008300	934	1.2265481708512255e-08
2R	24008300	24067000	960	2.4947007739435683e-08
2R	24067000	24125700	968	3.709367812811941e-09
2R	24125700	24184400	646	2.199780618377681e-09
2R	24184400	24243100	912	9.951502808343856e-09
2R	24243100	24301800	1050	1.7613327474928047e-08
2R	24301800	24360500	1033	2.1892711719934324e-08
2R	24360500	24419200	708	1.1253962278439791e-08
2R	24419200	24477900	1027	2.1023871235462873e-08
2R	24477900	24536600	838	1.8392485448569358e-08
2R	24536600	24595300	716	9.466322825843803e-09
2R	24595300	24654000	608	8.795537240981957e-09
2R	24654000	24712700	451	1.3423754178603517e-09
2R	24712700	24771400	338	9.847886215227551e-09
2R	24771400	24830100	438	8.32590414639467e-09
2R	24830100	24888800	496	5.773055183610939e-09
2R	24888800	24947500	289	8.342487042327744e-09
2R	24947500	25006200	326	5.307694141693121e-09
2R	25006200	25064900	601	2.1123961335033078e-09
2R	25064900	25123600	819	2.0308419430839795e-09
2R	25123600	25182300	614	1.3239987679479306e-08
2R	25182300	25241000	812	2.562918941252089e-08
2R	25241000	25286936	208	1.3936322395173967e-08
3L	0	58800	212	2.064207379391711e-09
3L	58800	117600	144	1.4523524347398588e-09
3L	117600	176400	150	1.811346978747138e-09
3L	176400	235200	122	1.459153880970061e-09
3L	235200	294000	286	1.201963339019062e-09
3L	294000	352800	627	4.414724032206553e-09
3L	352800	411600	696	1.6480355696628027e-09
3L	411600	470400	1220	1.3204780607793073e-08
3L	470400	529200	1291	5.592887918396563e-09
3L	529200	588000	904	4.709058591704283e-09
3L	588000	646800	889	1.408437425199775e-09
3L	646800	705600	1134	2.684837655995631e-09
3L	705600	764400	1124	3.9863254103490564e-09
3L	764400	823200	1138	1.4138585760134426e-08
3L	823200	882000	1253	1.811518467690031e-08
3L	882000	940800	1227	2.263665966106082e-08
3L	940800	999600	1257	1.4576310710044068e-08
3L	999600	1058400	1264	2.484785551185489e-08
3L	1058400	1117200	1302	2.4198503506095768e-08
3L	1117200	1176000	1001	1.7368333567140314e-09
3L	1176000	1234800	1316	1.3971998123727304e-08
3L	1234800	1293600	1600	2.3467604077525506e-08
3L	1293600	1352400	1109	4.260372936364793e-09
3L	1352400	1411200	1713	2.1260113492215054e-08
3L	1411200	1470000	1553	2.6997264791783104e-08
3L	1470000	1528800	897	3.560442082868567e-09
3L	1528800	1587600	1180	1.6985054171817222e-08
3L	1587600	1646400	1108	2.0169427427495693e-08
3L	1646400	1705200	1503	1.991428211313622e-08
3L	1705200	1764000	786	1.2193749573444934e-08
3L	1764000	1822800	544	1.1747342346195826e-08
3L	1822800	1881600	1236	1.291823697523955e-08
3L	1881600	1940400	1253	1.563792284799871e-08
3L	1940400	1999200	1227	9.92212800499839e-09
3L	1999200	2058000	1340	8.074709141332004e-09
3L	2058000	2116800	829	3.72965710216333e-09
3L	2116800	2175600	1660	1.6794375788894113e-08
3L	2175600	2234400	1268	1.5533109798151277e-08
3L	2234400	2293200	1194	4.115238194942102e-09
3L	2293200	2352000	1452	4.15527649292444e-09
3L	2352000	2410800	1437	7.742541960154286e-09
3L	2410800	2469600	1087	1.0334357682957057e-08
3L	2469600	2528400	1153	1.1908562000382333e-08
3L	2528400	2587200	1438	1.4189621985391655e-08
3L	2587200	2646000	1222	1.085685876875146e-08
3L	2646000	2704800	1376	7.885440571037777e-09
3L	2704800	2763600	1087	3.817956342077951e-09
3L	2763600	2822400	980	2.3578423661624576e-08
3L	2822400	2881200	1155	4.067710410563655e-09
3L	2881200	2940000	1196	9.184220718148151e-09
3L	2940000	2998800	1247	1.3311694154032244e-08
3L	2998800	3057600	1443	1.2684865594277989e-08
3L	3057600	3116400	920	7.783729623594098e-09
3L	3116400	3175200	920	1.3178007385829028e-08
3L	3175200	3234000	734	2.230679261500429e-09
3L	3234000	3292800	1179	3.828777747572571e-09
3L	3292800	3351600	1203	8.601994362148865e-09
3L	3351600	3410400	895	1.5415698134988216e-09
3L	3410400	3469200	1113	2.5826986573339816e-09
3L	3469200	3528000	1360	1.2878167941036687e-08
3L	3528000	3586800	1429	7.726264734524427e-09
3L	3586800	3645600	1152	9.938535507085892e-09
3L	3645600	3704400	973	9.136108663596032e-09
3L	3704400	3763200	1156	7.14213555268926e-09
3L	3763200	3822000	1589	2.522450787356264e-08
3L	3822000	3880800	1163	1.3269842137055185e-08
3L	3880800	3939600	1459	1.8712392402553055e-08
3L	3939600	3998400	1118	6.165147843402473e-09
3L	3998400	4057200	1307	3.0930530143633696e-09
3L	4057200	4116000	1200	7.020544192222291e-09
3L	4116000	4174800	1198	1.8822038364886494e-09
3L	4174800	4233600	1129	5.02092266061843e-10
3L	4233600	4292400	945	3.6347233503538425e-09
3L	4292400	4351200	1085	3.8788151866545345e-09
3L	4351200	4410000	1305	3.606558820939555e-09
3L	4410000	4468800	967	3.458538822558843e-09
3L	4468800	4527600	1152	0
3L	4527600	4586400	1104	5.728234442508193e-09
3L	4586400	4645200	1352	4.297179701436761e-09
3L	4645200	4704000	1357	8.874563165775248e-09
3L	4704000	4762800	1317	7.411520196662599e-09
3L	4762800	4821600	1159	6.712424014843047e-09
3L	4821600	4880400	853	7.634396709224672e-09
3L	4880400	4939200	928	1.7404393639442067e-09
3L	4939200	4998000	1122	4.205785408710254e-09
3L	4998000	5056800	931	4.144667139153082e-09
3L	5056800	5115600	878	4.7583786643181865e-09
3L	5115600	5174400	1094	1.9632459445549916e-09
3L	5174400	5233200	1112	1.1060640751079076e-09
3L	5233200	5292000	1184	6.5676919461076155e-09
3L	5292000	5350800	1133	2.7254117229596173e-09
3L	5350800	5409600	1483	1.2627184423729934e-08
3L	5409600	5468400	1430	1.042980408108688e-08
3L	5468400	5527200	1501	1.3860092620497535e-08
3L	5527200	5586000	1081	4.403534920000317e-09
3L	5586000	5644800	868	3.3424867493947816e-09
3L	5644800	5703600	867	6.430016236844182e-09
3L	5703600	5762400	831	5.684947692595014e-09
3L	5762400	5821200	1085	2.4694402816000256e-08
3L	5821200	5880000	1072	7.921077667827702e-09
3L	5880000	5938800	1463	7.837084882590844e-09
3L	5938800	5997600	1330	1.1951350203158903e-08
3L	5997600	6056400	1060	4.90181135228128e-09
3L	6056400	6115200	1208	2.946782442699581e-09
3L	6115200	6174000	983	5.329915583182545e-09
3L	6174000	6232800	519	3.381608036467474e-09
3L	6232800	6291600	975	7.997903268296312e-10
3L	6291600	6350400	1034	7.151287614830529e-09
3L	6350400	6409200	990	1.1827472519058666e-08
3L	6409200	6468000	701	7.78036499438934e-09
3L	6468000	6526800	1144	3.039262936540463e-09
3L	6526800	6585600	1306	3.4405584155346875e-09
3L	6585600	6644400	1001	1.0799252887844512e-08
3L	6644400	6703200	1049	1.2181074407273805e-08
3L	6703200	6762000	870	6.2214182496267414e-09
3L	6762000	6820800	1078	1.3185361238077678e-08
3L	6820800	6879600	1122	1.3844834483867508e-08
3L	6879600	6938400	946	2.6849459377266587e-09
3L	6938400	6997200	1060	6.654403053967158e-09
3L	6997200	7056000	1392	5.103684592827996e-09
3L	7056000	7114800	1365	1.0492670085458928e-08
3L	7114800	7173600	1120	5.403124184769822e-09
3L	7173600	7232400	1271	1.903552256521658e-09
3L	7232400	7291200	1207	9.23123867604301e-09
3L	7291200	7350000	1267	2.5989217420983255e-09
3L	7350000	7408800	778	6.336388633415221e-09
3L	7408800	7467600	1572	8.27367287432469e-09
3L	7467600	7526400	1268	6.147759602094879e-09
3L	7526400	7585200	1025	2.5199347310521214e-09
3L	7585200	7644000	1374	1.1998174156285669e-08
3L	7644000	7702800	610	1.2083090156073009e-08
3L	7702800	7761600	1429	1.0314030607793276e-08
3L	7761600	7820400	1026	7.425941969713903e-09
3L	7820400	7879200	1320	1.5261899591868886e-08
3L	7879200	7938000	1041	2.187976866927237e-08
3L	7938000	7996800	1250	4.6771989482186624e-09
3L	7996800	8055600	1183	7.522539989170599e-09
3L	8055600	8114400	1013	4.48116276973518e-09
3L	8114400	8173200	890	3.0016361629428984e-09
3L	8173200	8232000	1007	2.537962511333601e-09
3L	8232000	8290800	980	5.130038787051658e-09
3L	8290800	8349600	948	4.234854541752505e-09
3L	8349600	8408400	927	1.514362252652077e-08
3L	8408400	8467200	937	2.922734874933758e-09
3L	8467200	8526000	709	0
3L	8526000	8584800	1326	1.2832738679164258e-08
3L	8584800	8643600	1278	7.50517938226311e-09
3L	8643600	8702400	1261	1.6542705429852068e-08
3L	8702400	8761200	1243	4.1770366091222934e-09
3L	8761200	8820000	1312	3.1430566154043863e-09
3L	8820000	8878800	1374	1.1844821846619172e-08
3L	8878800	8937600	1359	8.06399770947046e-09
3L	8937600	8996400	746	4.670266661563468e-09
3L	8996400	9055200	1224	4.774907419385745e-09
3L	9055200	9114000	1068	8.395841737357141e-09
3L	9114000	9172800	667	7.225334271898578e-09
3L	9172800	9231600	1204	7.925553876677546e-09
3L	9231600	9290400	1250	2.4468612848112707e-08
3L	9290400	9349200	1508	1.8472003998842096e-08
3L	9349200	9408000	1216	7.103424833846714e-09
3L	9408000	9466800	743	3.898041961520211e-09
3L	9466800	9525600	1174	5.528555034949494e-09
3L	9525600	9584400	1165	1.3097354697217242e-08
3L	9584400	9643200	1211	4.089814546844463e-09
3L	9643200	9702000	1184	1.0654255754455001e-08
3L	9702000	9760800	1129	3.195382633989016e-09
3L	9760800	9819600	1183	3.874826809561666e-09
3L	9819600	9878400	1054	7.0487752697837725e-09
3L	9878400	9937200	985	6.042294324008209e-09
3L	9937200	9996000	1281	6.216750855845551e-09
3L	9996000	10054800	1341	9.616061796704583e-09
3L	10054800	10113600	1039	6.102301577887645e-09
3L	10113600	10172400	1231	8.0799405024623e-09
3L	10172400	10231200	1374	6.8466448601258654e-09
3L	10231200	10290000	1433	1.803171130559198e-08
3L	10290000	10348800	1285	1.2969594379902093e-08
3L	10348800	10407600	1182	7.721258960333773e-09
3L	10407600	10466400	1398	8.467013288879453e-09
3L	10466400	10525200	1223	4.401077150292919e-09
3L	10525200	10584000	1109	1.419001507063398e-08
3L	10584000	10642800	1284	1.908042959903588e-08
3L	10642800	10701600	1331	1.0628338070959548e-08
3L	10701600	10760400	1499	1.8747763024770526e-08
3L	10760400	10819200	1276	6.843430246235969e-09
3L	10819200	10878000	1165	7.891616577477823e-09
3L	10878000	10936800	1646	1.0180857049877745e-08
3L	10936800	10995600	1396	1.7672347926938385e-08
3L	10995600	11054400	1276	1.5899283893248375e-08
3L	11054400	11113200	1208	3.9779098895657175e-09
3L	11113200	11172000	1373	1.3554531162981178e-08
3L	11172000	11230800	1310	1.0844825961390964e-08
3L	11230800	11289600	1072	8.46063369022638e-09
3L	11289600	11348400	1340	3.0622220473225157e-09
3L	11348400	11407200	1338	6.6666073074017825e-09
3L	11407200	11466000	1598	1.1099257575070141e-08
3L	11466000	11524800	964	3.1945254036183766e-09
3L	11524800	11583600	1387	1.0397053933157021e-08
3L	11583600	11642400	1146	9.739887595808706e-09
3L	11642400	11701200	1493	1.1106135720859821e-08
3L	11701200	11760000	1217	8.676320747022067e-09
3L	11760000	11818800	977	2.0136815445854222e-09
3L	11818800	11877600	1393	2.77951198282453e-09
3L	11877600	11936400	1387	5.869286060323368e-09
3L	11936400	11995200	714	4.616668332639258e-09
3L	11995200	12054000	1280	1.2687975592224626e-08
3L	12054000	12112800	1591	1.194554472326722e-08
3L	12112800	12171600	1080	2.740898266366031e-09
3L	12171600	12230400	1185	4.572365313562991e-09
3L	12230400	12289200	1077	1.45498967352814e-08
3L	12289200	12348000	1389	1.266913908276453e-08
3L	12348000	12406800	1292	1.4039300718242922e-08
3L	12406800	12465600	1276	7.917980923113768e-09
3L	12465600	12524400	1176	1.0102174581200057e-08
3L	12524400	12583200	1188	6.523679934183487e-09
3L	12583200	12642000	1229	5.2852978703254775e-09
3L	12642000	12700800	1151	1.7590644426163383e-08
3L	12700800	12759600	1173	7.185785497575262e-09
3L	12759600	12818400	1096	4.4188770877653604e-09
3L	12818400	12877200	1562	5.957797351961252e-09
3L	12877200	12936000	1072	6.192687496993952e-09
3L	12936000	12994800	1005	1.2293429392480812e-08
3L	12994800	13053600	918	3.6108449727927494e-09
3L	13053600	13112400	1052	6.219275173700144e-09
3L	13112400	13171200	1103	7.677890999122323e-09
3L	13171200	13230000	1233	8.56495862633316e-09
3L	13230000	13288800	1194	9.685353081084982e-09
3L	13288800	13347600	1301	4.155073464678761e-09
3L	13347600	13406400	1315	3.5432455904596673e-09
3L	13406400	13465200	872	3.901786704718267e-09
3L	13465200	13524000	710	1.194862990093835e-09
3L	13524000	13582800	492	6.296166482077075e-09
3L	13582800	13641600	679	9.971204443717477e-09
3L	13641600	13700400	761	6.355863553914503e-09
3L	13700400	13759200	848	2.365898328991162e-09
3L	13759200	13818000	677	3.0894007618105674e-09
3L	13818000	13876800	947	1.5076325142990987e-09
3L	13876800	13935600	1139	4.0198183032776856e-09
3L	13935600	13994400	1153	9.756742887971396e-09
3L	13994400	14053200	531	3.8722889564906945e-09
3L	14053200	14112000	1415	8.367060227662934e-09
3L	14112000	14170800	1351	1.093347993676817e-08
3L	14170800	14229600	1355	6.832994594408136e-09
3L	14229600	14288400	1105	5.3643390222371955e-09
3L	14288400	14347200	1057	5.400405862147137e-09
3L	14347200	14406000	1219	8.835168918505589e-09
3L	14406000	14464800	875	6.722442330832543e-09
3L	14464800	14523600	1056	5.801118198902387e-09
3L	14523600	14582400	1066	4.590467537534553e-09
3L	14582400	14641200	983	9.70519034489393e-10
3L	14641200	14700000	1119	2.699411700231194e-09
3L	14700000	14758800	689	8.202603964859915e-09
3L	14758800	14817600	672	6.683656040365218e-09
3L	14817600	14876400	779	4.966126188773177e-09
3L	14876400	14935200	837	2.4673256008582407e-09
3L	14935200	14994000	1017	3.617476100883523e-09
3L	14994000	15052800	1129	8.88130821527054e-09
3L	15052800	15111600	899	8.974519610795863e-09
3L	15111600	15170400	786	5.083350186088679e-09
3L	15170400	15229200	947	7.395217028534681e-09
3L	15229200	15288000	1091	4.0233227963850216e-09
3L	15288000	15346800	942	5.773039392525163e-09
3L	15346800	15405600	867	1.5145422422603302e-09
3L	15405600	15464400	822	7.112219340688652e-09
3L	15464400	15523200	1058	8.26853964351314e-09
3L	15523200	15582000	519	1.989508776068097e-09
3L	15582000	15640800	899	8.914843969717701e-09
3L	15640800	15699600	1263	3.095933759582596e-09
3L	15699600	15758400	1139	1.1372759180691945e-08
3L	15758400	15817200	954	8.165954546678348e-09
3L	15817200	15876000	700	2.648085031789177e-09
3L	15876000	15934800	866	5.072384404952687e-09
3L	15934800	15993600	637	3.539498591392216e-09
3L	15993600	16052400	845	4.5491377543227664e-09
3L	16052400	16111200	790	4.983624967681196e-09
3L	16111200	16170000	577	1.6438069424792162e-09
3L	16170000	16228800	1002	5.4144102993601045e-09
3L	16228800	16287600	1126	9.212816118617156e-09
3L	16287600	16346400	1199	4.6273306993414304e-09
3L	16346400	16405200	711	5.658587858697862e-09
3L	16405200	16464000	971	4.927295908852623e-09
3L	16464000	16522800	1095	6.349948664357093e-09
3L	16522800	16581600	766	1.1946495572217811e-08
3L	16581600	16640400	340	1.7765231228746228e-09
3L	16640400	16699200	878	5.1562824436748955e-09
3L	16699200	16758000	1217	9.377997643431124e-09
3L	16758000	16816800	1021	2.3768050915152833e-08
3L	16816800	16875600	825	8.599745260360636e-09
3L	16875600	16934400	1202	1.0724343924699685e-08
3L	16934400	16993200	785	6.420352092349925e-09
3L	16993200	17052000	615	1.0931027242766914e-08
3L	17052000	17110800	522	1.1303665284883735e-08
3L	17110800	17169600	796	8.329130603598899e-09
3L	17169600	17228400	976	1.0391025122195094e-08
3L	17228400	17287200	699	4.636526750935931e-09
3L	17287200	17346000	710	3.914154508684132e-09
3L	17346000	17404800	618	2.296085938780193e-09
3L	17404800	17463600	651	4.748232891707793e-09
3L	17463600	17522400	706	6.49125632334876e-09
3L	17522400	17581200	525	9.312399217252664e-09
3L	17581200	17640000	834	1.6740004930445507e-08
3L	17640000	17698800	863	3.00122559471275e-09
3L	17698800	17757600	840	9.370185567711324e-09
3L	17757600	17816400	876	1.2583732995350816e-08
3L	17816400	17875200	566	6.051587377986756e-09
3L	17875200	17934000	866	0
3L	17934000	17992800	824	7.156215837798548e-10
3L	17992800	18051600	1092	2.6963042401376265e-09
3L	18051600	18110400	1069	6.618532474694703e-09
3L	18110400	18169200	1474	5.337663366624544e-09
3L	18169200	18228000	1338	8.930005667931031e-09
3L	18228000	18286800	1444	5.1425408152466106e-09
3L	18286800	18345600	1366	2.073517945127661e-08
3L	18345600	18404400	1431	2.6449891617958482e-08
3L	18404400	18463200	996	4.5272795078061675e-09
3L	18463200	18522000	766	1.7155142629831772e-09
3L	18522000	18580800	818	2.087789110127173e-09
3L	18580800	18639600	971	5.119122635042389e-09
3L	18639600	18698400	903	7.353833104457379e-09
3L	18698400	18757200	873	1.368224579894105e-08
